Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2018-08-20 08:09:49.324000,4153.87096774,0,4089.03225806,0,4112.90322581,0,4114.51612903,0,4050.64516129,0,4131.29032258,0,4152.25806452,0,4158.70967742,0,4118.06451613,0,4141.61290323,0,4065.16129032,0,4144.19354839,0,4079.03225806,0,4105.16129032,0,0,0,?
2018-08-20 08:09:49.326000,4169.67741935,0,4078.38709677,0,4110.96774194,0,4120.0,0,4080.32258065,0,4139.67741935,0,4131.29032258,0,4139.35483871,0,4142.58064516,0,4129.67741935,0,4138.70967742,0,4131.93548387,0,4060.96774194,0,4174.19354839,0,0,0,?
2018-08-20 08:09:49.336000,4097.74193548,0,4066.12903226,0,4090.64516129,0,4104.83870968,0,4000.64516129,0,4100.32258065,0,4113.22580645,0,4146.77419355,0,4146.77419355,0,4143.87096774,0,4061.29032258,0,4091.61290323,0,4037.09677419,0,4109.03225806,0,0,0,?
2018-08-20 08:09:49.343000,4193.22580645,0,4071.93548387,0,4067.09677419,0,4113.22580645,0,4110.32258065,0,4128.06451613,0,4136.77419355,0,4160.0,0,4116.12903226,0,4203.22580645,0,4141.29032258,0,4121.61290323,0,4102.90322581,0,4150.96774194,0,0,0,?
2018-08-20 08:09:49.353000,4102.25806452,0,4068.06451613,0,4093.5483871,0,4107.74193548,0,4053.87096774,0,4100.0,0,4120.64516129,0,4130.64516129,0,4142.25806452,0,4131.29032258,0,4028.38709677,0,4112.58064516,0,4040.64516129,0,4040.32258065,0,0,0,?
2018-08-20 08:09:49.358000,4125.16129032,0,4068.38709677,0,4101.61290323,0,4115.80645161,0,4078.70967742,0,4113.87096774,0,4140.0,0,4148.38709677,0,4111.61290323,0,4129.67741935,0,4094.51612903,0,4129.35483871,0,4075.80645161,0,4079.35483871,0,0,0,?
2018-08-20 08:09:49.367000,4189.67741935,0,4069.67741935,0,4098.06451613,0,4112.58064516,0,4068.70967742,0,4140.64516129,0,4120.64516129,0,4142.58064516,0,4097.74193548,0,4159.03225806,0,4140.64516129,0,4140.96774194,0,4061.29032258,0,4162.25806452,0,0,0,?
2018-08-20 08:09:49.375000,4106.4516129,0,4075.48387097,0,4078.06451613,0,4098.70967742,0,4009.35483871,0,4078.06451613,0,4123.87096774,0,4147.74193548,0,4096.77419355,0,4099.35483871,0,4036.77419355,0,4111.61290323,0,4038.38709677,0,4080.32258065,0,0,0,?
2018-08-20 08:09:49.386000,4161.29032258,0,4084.83870968,0,4114.19354839,0,4115.48387097,0,4106.12903226,0,4097.41935484,0,4161.93548387,0,4161.61290323,0,4112.25806452,0,4205.48387097,0,4107.09677419,0,4130.64516129,0,4075.48387097,0,4129.03225806,0,0,0,?
2018-08-20 08:09:49.389000,4111.61290323,0,4076.12903226,0,4101.61290323,0,4107.74193548,0,4034.19354839,0,4102.25806452,0,4130.0,0,4138.06451613,0,4141.93548387,0,4168.70967742,0,4065.48387097,0,4114.19354839,0,4044.51612903,0,4053.22580645,0,0,0,?
2018-08-20 08:09:49.398000,4124.83870968,0,4075.48387097,0,4105.80645161,0,4101.61290323,0,4036.77419355,0,4114.19354839,0,4137.74193548,0,4157.09677419,0,4114.83870968,0,4129.35483871,0,4058.38709677,0,4121.93548387,0,4079.03225806,0,4070.96774194,0,0,0,?
2018-08-20 08:09:49.406000,4199.35483871,0,4074.83870968,0,4110.96774194,0,4104.19354839,0,4068.06451613,0,4144.51612903,0,4129.03225806,0,4141.61290323,0,4099.03225806,0,4173.87096774,0,4166.77419355,0,4100.32258065,0,4045.80645161,0,4176.4516129,0,0,0,?
2018-08-20 08:09:49.417000,4124.83870968,0,4069.35483871,0,4093.87096774,0,4101.93548387,0,4017.09677419,0,4091.29032258,0,4125.16129032,0,4178.70967742,0,4145.16129032,0,4138.38709677,0,4065.80645161,0,4112.25806452,0,4016.77419355,0,4120.96774194,0,0,0,?
2018-08-20 08:09:49.421000,4153.5483871,0,4075.48387097,0,4066.12903226,0,4110.64516129,0,4079.03225806,0,4109.03225806,0,4143.87096774,0,4147.09677419,0,4125.48387097,0,4161.29032258,0,4120.0,0,4110.32258065,0,4060.64516129,0,4144.51612903,0,0,0,?
2018-08-20 08:09:49.431000,4110.0,0,4076.4516129,0,4094.19354839,0,4102.58064516,0,4046.4516129,0,4118.70967742,0,4115.48387097,0,4131.61290323,0,4104.83870968,0,4179.03225806,0,4077.41935484,0,4116.77419355,0,4032.25806452,0,4073.5483871,0,0,0,?
2018-08-20 08:09:49.437000,4136.12903226,0,4082.58064516,0,4099.67741935,0,4111.93548387,0,4040.64516129,0,4126.77419355,0,4140.96774194,0,4146.4516129,0,4112.90322581,0,4176.12903226,0,4101.93548387,0,4096.77419355,0,4038.38709677,0,4126.12903226,0,0,0,?
