Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2018-08-21 16:34:02.624000,4134.19354839,0,4083.5483871,0,4153.22580645,0,4386.4516129,0,4173.22580645,0,4092.90322581,0,4151.93548387,0,4191.61290323,0,4380.0,0,4120.0,0,4140.64516129,0,4127.09677419,0,4132.25806452,0,4142.25806452,0,0,0,?
2018-08-21 16:34:02.630000,4261.61290323,0,4199.67741935,0,4276.4516129,0,4505.16129032,0,4261.29032258,0,4219.35483871,0,4201.29032258,0,4212.25806452,0,4537.41935484,0,4278.06451613,0,4189.67741935,0,4270.64516129,0,4276.77419355,0,4197.09677419,0,0,0,?
2018-08-21 16:34:02.642000,4137.74193548,0,4066.77419355,0,4151.61290323,0,4345.80645161,0,4191.93548387,0,4120.96774194,0,4136.77419355,0,4181.61290323,0,4450.64516129,0,4153.5483871,0,4150.64516129,0,4162.90322581,0,4168.38709677,0,4115.48387097,0,0,0,?
2018-08-21 16:34:02.648000,4097.74193548,0,4033.5483871,0,4115.80645161,0,4305.80645161,0,4206.77419355,0,4040.96774194,0,4149.35483871,0,4204.83870968,0,4397.41935484,0,4109.35483871,0,4148.70967742,0,4133.5483871,0,4122.90322581,0,4100.32258065,0,0,0,?
2018-08-21 16:34:02.656000,4118.06451613,0,4097.74193548,0,4145.80645161,0,4340.64516129,0,4217.74193548,0,4141.29032258,0,4166.4516129,0,4168.70967742,0,4449.35483871,0,4156.4516129,0,4143.22580645,0,4131.93548387,0,4172.58064516,0,4112.58064516,0,0,0,?
2018-08-21 16:34:02.661000,4208.06451613,0,4140.64516129,0,4219.67741935,0,4396.12903226,0,4225.80645161,0,4191.61290323,0,4197.09677419,0,4200.32258065,0,4480.32258065,0,4187.09677419,0,4177.41935484,0,4199.03225806,0,4207.74193548,0,4181.29032258,0,0,0,?
2018-08-21 16:34:02.672000,4226.77419355,0,4205.48387097,0,4290.96774194,0,4442.90322581,0,4243.5483871,0,4200.32258065,0,4206.77419355,0,4200.32258065,0,4577.41935484,0,4291.29032258,0,4193.5483871,0,4300.64516129,0,4288.38709677,0,4196.77419355,0,0,0,?
2018-08-21 16:34:02.679000,4146.12903226,0,4111.93548387,0,4139.35483871,0,4267.09677419,0,4191.61290323,0,4106.12903226,0,4152.58064516,0,4162.90322581,0,4459.67741935,0,4158.38709677,0,4136.12903226,0,4166.12903226,0,4147.74193548,0,4125.48387097,0,0,0,?
2018-08-21 16:34:02.688000,4101.93548387,0,4018.38709677,0,4082.25806452,0,4216.77419355,0,4164.83870968,0,4069.35483871,0,4140.32258065,0,4202.90322581,0,4417.41935484,0,4101.29032258,0,4139.67741935,0,4092.90322581,0,4096.77419355,0,4066.4516129,0,0,0,?
2018-08-21 16:34:02.693000,4136.4516129,0,4109.03225806,0,4173.22580645,0,4280.96774194,0,4236.4516129,0,4119.35483871,0,4176.12903226,0,4176.77419355,0,4468.38709677,0,4179.03225806,0,4154.83870968,0,4161.29032258,0,4179.03225806,0,4168.70967742,0,0,0,?
