2;541 ms
2;274 ms
2;515 ms
2;387 ms
2;642 ms
2;197 ms
2;474 ms
2;296 ms
2;713 ms
2;485 ms
2;427 ms
2;556 ms
4;781 ms
4;596 ms
4;511 ms
4;468 ms
3;1385 ms
3;579 ms
3;683 ms
3;1153 ms
3;1114 ms
3;383 ms
3;500 ms
3;451 ms
3;371 ms
3;475 ms
3;909 ms
3;700 ms
3;343 ms
3;328 ms
4;578 ms
3;293 ms
3;392 ms
3;273 ms
0;528 ms
0;283 ms
0;392 ms
0;101 ms
0;1 ms
0;94 ms
0;2 ms
0;73 ms
0;1 ms
0;1 ms
0;2 ms
0;4 ms
0;67 ms
0;1 ms
0;2 ms
0;1 ms
0;4 ms
0;3 ms
0;62 ms
4;8 ms
0;2 ms
4;53 ms
4;2 ms
4;58 ms
0;2 ms
4;66 ms
0;2 ms
4;53 ms
3;2 ms
0;59 ms
0;3 ms
0;2 ms
0;15 ms
0;19 ms
