0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.129032258064516100e+03,4.129032258064516100e+03,4.129032258064516100e+03,4.129032258064516100e+03,4.129032258064516100e+03,4.129032258064516100e+03,4.129032258064516100e+03,4.129032258064516100e+03,4.129032258064516100e+03,4.129032258064516100e+03,4.129032258064516100e+03,4.129032258064516100e+03,4.129032258064516100e+03,4.129032258064516100e+03
4.135483870967741495e+03,4.138064516129032199e+03,4.136774193548387302e+03,4.138709677419355103e+03,4.140322580645160997e+03,4.139354838709677097e+03,4.138064516129032199e+03,4.140000000000000000e+03,4.139677419354839003e+03,4.137741935483871202e+03,4.140645161290322903e+03,4.139354838709677097e+03,4.138387096774193196e+03,4.139032258064516100e+03
4.190000000000000000e+03,4.229032258064516100e+03,4.214193548387096598e+03,4.196451612903226305e+03,4.219032258064516100e+03,4.202580645161290704e+03,4.238064516129032199e+03,4.210322580645161906e+03,4.214838709677419502e+03,4.230000000000000000e+03,4.224193548387097508e+03,4.202258064516129707e+03,4.197419354838710206e+03,4.200645161290322903e+03
4.280645161290322903e+03,4.287741935483871202e+03,4.275806451612903402e+03,4.340000000000000000e+03,4.300967741935483900e+03,4.338709677419355103e+03,4.337419354838709296e+03,4.292903225806451701e+03,4.300000000000000000e+03,4.268064516129032199e+03,4.302903225806451701e+03,4.329354838709677097e+03,4.334516129032257595e+03,4.291935483870967801e+03
4.203548387096773695e+03,4.191612903225806804e+03,4.201290322580644897e+03,4.180000000000000000e+03,4.149677419354839003e+03,4.131290322580644897e+03,4.186774193548387302e+03,4.144193548387096598e+03,4.172258064516128798e+03,4.140322580645161906e+03,4.134516129032257595e+03,4.176451612903226305e+03,4.154516129032258505e+03,4.130645161290322903e+03
4.168064516129032199e+03,4.169677419354838094e+03,4.174516129032257595e+03,4.216129032258064399e+03,4.249354838709678006e+03,4.233548387096773695e+03,4.167419354838709296e+03,4.220322580645161906e+03,4.240967741935483900e+03,4.231612903225805894e+03,4.272580645161290704e+03,4.219032258064516100e+03,4.208064516129032199e+03,4.233870967741935601e+03
4.296129032258064399e+03,4.326129032258065308e+03,4.348064516129032199e+03,4.403548387096774604e+03,4.382903225806451701e+03,4.393225806451612698e+03,4.394193548387096598e+03,4.391612903225806804e+03,4.379354838709678006e+03,4.368387096774194106e+03,4.388387096774194106e+03,4.391935483870967801e+03,4.404516129032257595e+03,4.407096774193548299e+03
3.711290322580644897e+03,3.394838709677419047e+03,3.504838709677419047e+03,3.307096774193548299e+03,3.178064516129032654e+03,3.210322580645161452e+03,3.332258064516128798e+03,3.169032258064516100e+03,3.132903225806451701e+03,3.298064516129032199e+03,3.113225806451612698e+03,3.199354838709677551e+03,3.173548387096774604e+03,3.229677419354839003e+03
1.918064516129032199e+03,1.562903225806451701e+03,1.673548387096774377e+03,1.241935483870967801e+03,1.092258064516129025e+03,1.240322580645161224e+03,1.262580645161290249e+03,1.167419354838709751e+03,1.139677419354838776e+03,1.776129032258064626e+03,1.113225806451612925e+03,1.265806451612903174e+03,1.299677419354838548e+03,1.233548387096774150e+03
1.227096774193548299e+03,9.074193548387097508e+02,1.063225806451612925e+03,4.938709677419354875e+02,3.632258064516128684e+02,7.232258064516129252e+02,5.929032258064515872e+02,5.312903225806451246e+02,5.525806451612903629e+02,1.429354838709677324e+03,3.896774193548386620e+02,7.783870967741936511e+02,9.190322580645160997e+02,6.777419354838709751e+02
